Real Response,Model Response
C1CC1NC2=C3C(=NC(=N2)N)N(C=N3)C4CC(C=C4)CO.C1CC1NC2=C3C(=NC(=N2)N)N(C=N3)C4CC(C=C4)CO.OS(=O)(=O)O,C1=CC(=C(C(=C1)N)C(F)(F)F)C(CN2C=CN=C2)=O
C1CC(=O)NC2=C1C=CC(=C2)OCCCCN3CCN(CC3)C4=C(C(=CC=C4)Cl)Cl,C1CN(CCC1CN(C)C)C2=CC=C(C=C2)C3=CC(=C(C=C3)O)Cl
CC1(CCC(=C(C1)C2=CC=C(C=C2)Cl)CN3CCN(CC3)C4=CC(=C(C=C4)C(=O)NS(=O)(=O)C5=CC(=C(C=C5)NCC6CCOCC6)[N+](=O)[O-])OC7=CN=C8C(=C7)C=CN8)C,C1C2C(C3C4CC=C5C4(C(CC3N12)C5CCC6=C(C(=C7C=C6C8C(=C(C(=C(N8)C=C9C(=C(C(=N9)C2=C(C=CC(=C2Cl)Cl)Cl)C1=C(C=CC(=C1Cl)Cl)Cl)C3N4C7=CC(=C5)C#N)C#N)C(C)C(=O)NC(C)C(=O)N2CCCCC2C(=O)NC(C(C)C)C(=O)O)C)C)C)C)C)C(=O)O
CC(=O)NCCCS(=O)(=O)[O-].CC(=O)NCCCS(=O)(=O)[O-].[Ca+2],CC(=O)O.C1=CC(=CC(=C1C(=O)O)S(=O)(=O)N)CC(=O)N
[H+].[H+].[H+].[H+].[H+].[H+].[H+].[H+].[H+].C(C(=O)[O-])C(CC(=O)[O-])(C(=O)[O-])O.C(C(=O)[O-])C(CC(=O)[O-])(C(=O)[O-])O.C(C(=O)[O-])C(CC(=O)[O-])(C(=O)[O-])O.[O-]P(=O)([O-])OP(=O)([O-])[O-].[O-]P(=O)([O-])OP(=O)([O-])[O-].[O-]P(=O)([O-])OP(=O)([O-])[O-].[Fe+3].[Fe+3].[Fe+3].[Fe+3],C1=CC(=C(C=C1C(=O)O)O)O.[Fe+3]
CC(C)(C)NCC(C1=CC(=C(C=C1)O)CO)O.CC(C)(C)NCC(C1=CC(=C(C=C1)O)CO)O.C(C(C(=O)O)O)(C(=O)O)O,CC(C)(C)NCC(C1=CC(=C(C=C1)O)O)O.CC(C)(C)NCC(C1=CC(=C(C=C1)O)O)O.F[P-](F)(F)(F)(F)F.[F-]
CC(C)OC(=O)CCCC=CCC1C(CC(C1CCC(CCC2=CC=CC=C2)O)O)O,CCC1C(O1)CCC2C3CC=C4CC(=CC(=O)C=C4C3(CCC2(C(C(CO)O)O)O)O)C
C1CC1N2C=C(C(=O)C3=CC(=C(C(=C32)C#N)N4CC5C(C4)OCCN5)F)C(=O)O,C1C2CC3CC1CC(C2)(C3)OCCN4C5CC6CC(CC(C6)(C4C5Cl)O)O.C1C2CC3CC1CC(C2)(C3)OCCN4C5CC6CC(CC(C6)(C4C5Cl)O)O.OS(=O)(=O)O	CCl.Cl
CCC1=CN=C(C=C1)CCOC2=CC=C(C=C2)CC3C(=O)NC(=O)S3.Cl,CCC1=C(C2=CC=C(S2)C=C1)C=CC(=CC=CC(=O)O)C3=CC(=CC=C3)N(CCCl)CCl.Cl
CCCCCC(CCC1C(CC2C1CC3=C(C2)C(=CC=C3)OCC(=O)O)O)O,C1=CC=C(C(=C1)CC(C(=O)OC(C#N)C(=O)C2=CC=CC=C2)O)C#N.C1=CC(=C(C=C1C(F)(F)F)C2=CC(=CN=C(O2)C3CC3)C(F)(F)F)C(F)(F)F.OS(=O)(=O)O.OS(=O)(=O)O
