Real Response,Model Response
C1CC1NC2=C3C(=NC(=N2)N)N(C=N3)C4CC(C=C4)CO.C1CC1NC2=C3C(=NC(=N2)N)N(C=N3)C4CC(C=C4)CO.OS(=O)(=O)O,C1=CC(=C(C=C1C(C#N)C(=O)C2=CC=CC=C2)N)O
C1CC(=O)NC2=C1C=CC(=C2)OCCCCN3CCN(CC3)C4=C(C(=CC=C4)Cl)Cl,CNCC(C1=CC(=C(C=C1)O)O)O.CS(=O)C2=CC(=CC=C2F)F.OP(=S)(O)O.OP(=S)(O)O.OP(=S)(O)O.OP(=S)(O)O.OS(=O)(=O)O.OS(=O)(=O)O.OS(=O)(=O)O.OS(=O)(=O)O.OS(=O)(=O)O.OS(=O)(=O)O
CC1(CCC(=C(C1)C2=CC=C(C=C2)Cl)CN3CCN(CC3)C4=CC(=C(C=C4)C(=O)NS(=O)(=O)C5=CC(=C(C=C5)NCC6CCOCC6)[N+](=O)[O-])OC7=CN=C8C(=C7)C=CN8)C,CC1=CC(=C(C(=C1)F)F)C2=C(C(=O)C3=C(C=CC(=C3O2)C(=O)O)F)O
CC(=O)NCCCS(=O)(=O)[O-].CC(=O)NCCCS(=O)(=O)[O-].[Ca+2],CC(CCC(=O)NO)NC1=NC=C(O1)C(C)O.Cl
[H+].[H+].[H+].[H+].[H+].[H+].[H+].[H+].[H+].C(C(=O)[O-])C(CC(=O)[O-])(C(=O)[O-])O.C(C(=O)[O-])C(CC(=O)[O-])(C(=O)[O-])O.C(C(=O)[O-])C(CC(=O)[O-])(C(=O)[O-])O.[O-]P(=O)([O-])OP(=O)([O-])[O-].[O-]P(=O)([O-])OP(=O)([O-])[O-].[O-]P(=O)([O-])OP(=O)([O-])[O-].[Fe+3].[Fe+3].[Fe+3].[Fe+3],[Fe+2]
CC(C)(C)NCC(C1=CC(=C(C=C1)O)CO)O.CC(C)(C)NCC(C1=CC(=C(C=C1)O)CO)O.C(C(C(=O)O)O)(C(=O)O)O,CC(C=1C=CC(=CC=1)OC)NCC(COC(=O)N)O.Cl
CC(C)OC(=O)CCCC=CCC1C(CC(C1CCC(CCC2=CC=CC=C2)O)O)O,CCCCC\C=C\CCCCCCCC(=O)OCCCCCC1=CC(=CC=C1)C(C)Cl
C1CC1N2C=C(C(=O)C3=CC(=C(C(=C32)C#N)N4CC5C(C4)OCCN5)F)C(=O)O,C1CC1N2C=C(C(=O)C3=CC(=C(C=C32)N4CCNCC4)F)C(=O)O.Cl
CCC1=CN=C(C=C1)CCOC2=CC=C(C=C2)CC3C(=O)NC(=O)S3.Cl,Ciglitazone C1=CC(=CC=C1C(=NN=C(S1)C(=NN=C1S(=O)(=O)C1=CC(=CC=C1)Cl)C1=CC=CC=C1)C1=CC=CC=C1)C1=CC=CC=C1
CCCCCC(CCC1C(CC2C1CC3=C(C2)C(=CC=C3)OCC(=O)O)O)O,CCCCCCCCCCC\C=C/1111\C=C\C=C\CC(C=C(/C)CCCCC)C1C(=O)OCCCC2(C(CC(CC2CN3C=CN4C3=NC=N4)O)O)O
